Time_s,Mass_kg,Pos_X_East_m,Pos_Y_North_m,Pos_Z_Up_m,Vel_X_mps,Vel_Y_mps,Vel_Z_mps,Quat_w,Quat_x,Quat_y,Quat_z,Omega_X_radps,Omega_Y_radps,Omega_Z_radps,Control_Ux_N,Control_Uy_N,Control_Uz_N,Thrust_Magnitude_N
0,30000,250,-200,500,-30,-20,-80,0.976382586165042,0.172162593434805,-0.128543206069469,0.0226656354168154,-0.0872664625997165,0.0872664625997165,1.50207509606471e-21,-52200.526253132,-82110.5676772487,794060.540868903,799999.489268837
0.555646280493195,29839.3169694702,232.185053920512,-212.824885525011,457.604932114947,-33.9670706935011,-25.9602457855593,-72.4431990167351,0.987527771149967,0.12561415138131,-0.0920153925251236,0.0233057524675475,-0.247586557408762,0.188134343805205,-7.45694811929792e-12,-51532.3542951539,-82763.1765308652,794036.704568071,799999.759456215
1.11129256098639,29678.63676877,212.514167930618,-228.505519495053,419.701984747946,-36.5198678354695,-30.0544195199949,-63.791859217797,0.998761664393659,0.0329786022518715,-0.0292675363553708,0.0230431611635531,-0.413967614258716,0.278344260474582,-1.53528628494563e-11,-41239.8383850734,-88343.6821632861,794036.573337842,799999.631403851
1.66693884147959,29533.639124315,192.184737234305,-245.505552088175,386.602700362266,-35.9882586670492,-30.3566014696974,-55.8265810171698,0.993456400576402,-0.102250641331217,0.045858675399464,0.0220504864232644,-0.530124924125345,0.248407948985259,-2.36037744263211e-11,72026.4454458299,-31112.9001062203,642679.916299041,647451.38521029
2.22258512197278,29388.5819104001,172.961068953722,-261.227624208069,357.420952803417,-33.0561323272802,-25.1236584675833,-49.17383498755,0.964490913330439,-0.24600063398649,0.0931193068484721,0.0238709696010296,-0.479442139437609,0.129007283610915,-3.22265195493956e-11,50765.61492939,83235.2525058654,794033.318406482,799996.353528242
2.77823140246598,29227.9088872166,155.520726633011,-272.52265736556,331.698128633282,-29.7368343013719,-15.0882551906534,-43.7967134906476,0.929196908917322,-0.350766896123534,0.112941421868518,0.0282840331991578,-0.308757194084361,0.0491036146219929,-4.12669981582328e-11,31407.5967191674,92297.7401238949,794035.136027993,799998.19200461
3.33387768295917,29067.2290798718,139.866538313093,-277.641421326862,308.394778895214,-26.6638379122341,-3.12816377217449,-40.3157487341641,0.905544434185555,-0.406525022605184,0.116784542685084,0.0329866127711177,-0.126247916613143,-0.00100523282709189,-5.06821529071539e-11,20124.5166243091,95395.4368629919,794034.197726532,799997.245434545
3.88952396345237,28906.5845623018,125.833600406615,-275.865470767638,286.748322394862,-23.8863754983939,9.56032876094784,-37.6225013164065,0.902366703113545,-0.414706257027307,0.111490429596166,0.0363729816786983,0.0596284535399172,-0.0381367390902772,-6.03338215743236e-11,18061.6538160287,95760.4699723794,793658.990630641,799619.212098327
4.44517024394556,28745.9417802729,113.268433816277,-267.053576536793,266.685615373175,-21.3958791382351,22.0461808798224,-34.3897771010068,0.920739313989501,-0.375371557131372,0.0995174824904983,0.0378367558931465,0.246868211800784,-0.0670088305632891,-7.00007125645312e-11,11630.5056702843,96797.5499449868,794024.933712631,799987.893467674
5.00081652443876,28603.4393540079,101.888753420843,-251.893547404827,248.714661709221,-19.8027130627497,31.7043907788743,-30.2498735648254,0.951873871029189,-0.291779401932131,0.0868455093606127,0.0354798038676382,0.368096108881682,-0.0389672135489401,-7.94568535786558e-11,-40468.6023297822,27873.6418866496,618451.708054284,620400.808253674
